date,value
2006:01,11
2006:02,42
2006:03,50
2006:04,41
2006:05,36
2006:06,38
2006:07,65
2006:08,31
2006:09,37
2006:10,31
2006:11,42
2006:12,34
2007:01,25
2007:02,30
2007:03,30
2007:04,47
2007:05,52
2007:06,31
2007:07,41
2007:08,36
2007:09,48
2007:10,36
2007:11,30
2007:12,78
2008:01,33
2008:02,23
2008:03,50
2008:04,33
2008:05,29
2008:06,34
2008:07,55
2008:08,69
2008:09,27
2008:10,35
2008:11,36
2008:12,54
2009:01,27
2009:02,41
2009:03,53
2009:04,35
2009:05,34
2009:06,41
2009:07,45
2009:08,35
2009:09,51
2009:10,53
2009:11,27
2009:12,54
2011:01,24
2011:02,17
2011:03,28
2011:04,37
2011:05,20
2011:06,31
2011:07,36
2011:08,33
2011:09,37
2011:10,42
2011:11,47
2011:12,47
2012:01,23
2012:02,20
2012:03,37
2012:04,44
2012:05,15
2012:06,49
2012:07,48
2012:08,46
2012:09,45
2012:10,27
2012:11,33
2012:12,54
2013:01,28
2013:02,26
2013:03,45
2013:04,33
2013:05,18
2013:06,46
2013:07,44
2013:08,37
2013:09,28
2013:10,39
2013:11,39
2013:12,44
2014:01,29
2014:02,40
2014:03,40
2014:04,47
2014:05,17
2014:06,37
2014:07,30
2014:08,29
2014:09,35
2014:10,33
2014:11,30
2014:12,37
2015:01,25
2015:02,35
2015:03,29
2015:04,49
2015:05,17
2015:06,35
2015:07,38
2015:08,32
2015:09,32
2015:10,33
2015:11,37
2015:12,56
2016:01,22
2016:02,22
2016:03,35
2016:04,28
2016:05,19
2016:06,37
2016:07,37
2016:08,37
2016:09,28
2016:10,30
2016:11,25
2016:12,36
2017:01,23
