Субъект РФ,"Зарегистрированно преступлений на 10000 чел., за 2022 год",Процент населения в возрасте старше трудоспособного,Уровень безработицы,"Оценка туристического потока, по числу поездок","Процент расходов на алкогольную продукцию, табачные изделия и наркотики",Количество спортивных сооружений на 1000 человек,Количество собственных легковых автомобилей на 1000 человек населения по субъектам Российской Федерации,Прожиточный минимум
Алтайский край,172.724463104543,25.4,3.8,1883894,2.50836957664538,2.34971138955371,364.170909688167,11262
Амурская область,210.388013332902,21.1,4.1,478703,3.25734747844472,2.50330600370272,312.444624291522,14704
Архангельская область,156.910473348776,26.5,5.4,719229,2.2684072280154,2.01352291935965,341.416192404055,14679
Астраханская область,117.219259783079,22,7.1,449375,2.74624208091807,1.41699978960656,300.368099966651,12274
Белгородская область,95.2270912849717,26.3,3.7,822949,4.59415839564978,2.87157477715418,336.289811934683,10629
Брянская область,115.925189793381,26.2,3.2,348222,2.97875626656677,1.84989154013015,213.605147049254,11934
Владимирская область,122.795976909461,27.8,2.6,945382,2.78058728500925,2.05507355714825,315.612104020339,12274
Волгоградская область,147.078453135199,25.2,3.5,1115743,2.64528689186202,1.56268976964495,427.818062498153,10882
Вологодская область,152.79521965355,25.2,3.4,907605,2.66967903828608,1.4361655001329,357.439257535999,12781
Воронежская область,133.148109130743,27.1,3.5,1954381,3.61575256058629,2.50120334310594,362.428356762973,10756
Еврейская автономная область,205.680259505561,22,4.9,61775,5.0226125202428,2.34576271186441,293.778567456496,17053
Забайкальский край ,199.48881948351,19.3,8.7,406981,2.92051083290133,1.50342603788795,318.647480071622,14805
Ивановская область,120.695902829101,27.8,3.2,530009,4.22475914836692,1.78965781130425,347.179753477821,11642
Иркутская область,160.648482436722,21.7,5,1370720,3.7885367256577,1.44599897628391,270.340732651982,13413
"Кабардино-Балкарская
Республика",85.1936904284613,18.3,10.1,832908,1.36371916907234,1.70043175024909,275.339711668545,13540
Калининградская область,123.044377713642,23.6,3.1,1350137,4.76440517697366,1.60999709386806,370.297468961382,13034
Калужская область,144.701454518169,25.8,3.9,770594,2.7009089191311,1.53702493229993,296.605603196704,12148
Камчатский край,174.286225951699,19.3,2.9,257597,4.61988427521073,1.74229303775546,576.219997921934,22930
"Карачаево-Черкесская
Республика",95.5583463839266,20,9.9,427838,1.09871919943636,1.300170794193,206.699199904364,11515
Кемеровская область,180.745329212924,24.3,4.1,1065010,2.64165066828833,2.091737403629,327.728582787109,11515
Кировская область,149.978133756621,29,3.8,801547,3.55362579493726,1.61848695193744,310.402666872856,11262
Костромская область,131.899429101641,28.1,3.3,428108,3.24563064761608,2.04231509005071,328.959608323133,11691
Краснодарский край,135.607304455586,24.2,3.6,22914287,1.85436744222318,1.46014125410273,305.220948405706,12148
Красноярский край ,159.909784221294,22,2.7,2036076,4.24334477356713,1.64540502547883,304.984106735265,14046
Курганская область,167.04944693424,28.4,6.3,478923,2.85292441597335,2.8046218487395,427.40281465258,11895
Курская область,124.106668241687,27.2,2.9,333049,5.12279410656442,1.72071227741331,329.549011559144,11009
Ленинградская область,149.451816449796,25.1,3.4,11691683,4.50643994580429,1.45024211878644,298.827878901079,12781
Липецкая область,125.170605559945,26.4,3.7,488599,2.96129870442161,2.58279321672734,389.676301183649,10503
Магаданская область,173.19096735793,19.3,4.1,89323,2.16880885007837,2.20402084884587,391.013661914157,22018
Москва,109.358847548638,26.3,2.3,16908169,2.37070707547512,1.62619618137696,282.271980911125,18714
Московская область,95.3213578588826,22.3,3.1,16795275,2.25330769633598,0.69788284041575,323.093609952634,14748
Мурманская область,166.677709496281,21,4.7,604148,4.08694327973364,1.29345680886595,409.960254927144,20227
Ненецкий автономный округ ,154.018859452178,18.2,7.4,36643,4.64470844135657,3.30917887,229.007080202015,23108
